start,end,long,minday,minfday,meanperiod,gsop
1936-10-03,1937-04-20,199,-21.0,-18.76,-1.93, 3966.0
1937-10-05,1938-04-20,197,-17.1,-14.82,-1.01, 3745.0
1938-10-27,1939-04-09,164,-19.2,-18.36,-2.97, 3439.0
1939-09-27,1940-04-19,205,-32.4,-27.02,-3.99, 4508.0
1945-10-02,1946-04-22,202,-19.5,-17.88,-2.44, 4129.0
1946-09-29,1947-04-01,184,-27.6,-20.4,-4.79, 4193.0
1947-10-04,1948-04-10,189,-17.6,-15.44,-1.8, 3742.0
1948-09-24,1949-04-28,216,-21.8,-18.6,-1.48, 4208.0
1949-10-07,1950-04-07,182,-29.0,-24.84,-3.45, 3904.0
1950-10-15,1951-04-01,168,-22.6,-17.42,-4.08, 3709.0
1951-09-24,1952-04-16,205,-15.0,-13.0,-2.03, 4106.0
1952-10-18,1953-04-19,183,-24.3,-18.6,-3.42, 3920.0
1953-10-09,1954-04-20,193,-27.3,-22.92,-6.08, 4647.0
1954-10-03,1955-05-01,210,-16.8,-11.56,-0.17, 3816.0
1955-10-30,1956-04-18,171,-30.2,-28.3,-6.76, 4234.0
1956-09-19,1957-04-08,201,-21.5,-17.54,-1.62, 3944.0
1958-09-18,1959-04-12,206,-15.3,-9.3,-0.27, 3764.0
1959-09-29,1960-04-15,199,-25.7,-22.14,-3.9, 4358.0
1960-09-25,1961-04-08,195,-20.0,-15.28,0.71, 3372.0
1961-09-24,1962-04-11,199,-19.6,-15.84,-1.13, 3807.0
1962-10-13,1963-04-22,191,-26.4,-23.4,-4.86, 4366.0
1963-10-15,1964-04-20,188,-25.6,-18.94,-4.75, 4277.0
1965-10-05,1966-04-10,187,-23.3,-15.6,-0.27, 3416.0
1966-09-27,1967-04-13,198,-25.1,-22.7,-2.18, 3996.0
1967-10-23,1968-04-06,166,-24.0,-19.18,-4.07, 3664.0
1968-10-02,1969-04-15,195,-21.8,-18.64,-3.73, 4237.0
1969-09-26,1970-04-12,198,-26.6,-20.68,-1.89, 3938.0
1970-09-27,1971-04-22,207,-16.0,-14.36,-1.16, 3966.0
1971-10-06,1972-04-10,187,-23.9,-21.68,-3.43, 4007.0
1972-09-29,1973-04-05,188,-24.5,-21.36,-1.26, 3621.0
1973-09-15,1974-04-30,227,-16.9,-15.9,-0.62, 4227.0
1974-10-21,1975-04-02,163,-13.4,-10.52,-0.82, 3068.0
1977-09-17,1978-04-16,211,-20.3,-18.34,-1.74, 4165.0
1978-09-24,1979-04-26,214,-27.4,-22.22,-2.18, 4319.0
1979-10-03,1980-04-22,202,-24.3,-16.96,-3.59, 4361.0
1980-09-27,1981-05-04,219,-16.4,-13.82,-0.2, 3986.0
1981-09-20,1982-04-30,222,-20.9,-14.94,0.32, 3925.0
1982-10-04,1983-03-28,175,-16.9,-13.76,-0.48, 3234.0
1983-10-02,1984-04-13,194,-13.9,-12.48,-1.58, 3799.0
1984-10-14,1985-04-23,191,-28.3,-21.08,-4.98, 4389.0
1985-09-27,1986-04-05,190,-18.5,-14.98,-2.47, 3889.0
1986-09-27,1987-05-02,217,-29.4,-22.7,-4.14, 4804.0
1987-10-02,1988-04-20,201,-24.8,-23.68,-1.93, 4006.0
1988-10-16,1989-04-14,180,-19.9,-12.54,-1.08, 3434.0
1989-10-03,1990-03-21,169,-18.6,-13.36,0.34, 2985.0
1990-10-06,1991-04-12,188,-21.5,-18.64,-1.15, 3600.0
1991-10-13,1992-03-29,168,-17.8,-13.88,-1.45, 3268.0
1992-09-26,1993-04-26,212,-21.4,-15.48,-0.89, 4005.0
1993-09-23,1994-04-13,202,-26.3,-19.78,-2.23, 4086.0
1994-10-16,1995-04-18,184,-24.2,-19.64,-1.67, 3619.0
1994-10-16,1995-04-18,184,-24.2,-19.64,-1.67, 3619.0
1995-09-21,1996-04-22,214,-21.5,-18.0,-2.9, 4473.0
1996-09-22,1997-04-29,219,-25.4,-22.46,-0.54, 4060.0
1997-09-25,1998-04-13,200,-27.1,-19.04,-1.06, 3812.0
1998-10-04,1999-03-31,178,-21.0,-17.74,-1.9, 3542.0
1999-10-14,2000-04-06,175,-18.8,-16.26,-2.15, 3526.0
2000-09-19,2001-04-06,199,-13.0,-9.4,0.98, 3387.0
2001-09-30,2002-04-02,184,-24.8,-16.48,-0.5, 3404.0
2002-10-03,2003-04-23,202,-20.4,-16.5,-3.28, 4299.0
2003-10-15,2004-03-25,162,-17.0,-11.78,-1.48, 3156.0
2004-10-06,2005-04-08,184,-16.3,-14.82,-1.42, 3573.0
2005-10-19,2006-04-13,176,-26.4,-23.66,-3.27, 3744.0
2006-10-15,2007-04-03,170,-18.4,-14.26,0.51, 2973.0
2007-10-12,2008-04-04,175,-17.0,-15.18,-0.48, 3234.0
2008-10-22,2009-04-16,176,-21.3,-15.44,-0.74, 3298.0
2009-10-04,2010-04-05,183,-25.2,-21.7,-1.98, 3656.0
2010-10-03,2011-04-24,203,-19.1,-18.12,-1.21, 3900.0
2011-10-15,2012-04-08,176,-23.1,-20.68,-2.72, 3647.0
2012-10-13,2013-04-15,184,-19.3,-16.02,-1.15, 3524.0
2013-09-27,2014-03-25,179,-23.9,-20.7,0.29, 3170.0
2014-10-03,2015-04-13,192,-20.5,-13.56,-0.35, 3523.0
2015-10-09,2016-04-07,181,-20.2,-17.44,-0.15, 3285.0
2016-09-23,2017-04-05,194,-20.5,-15.32,-0.85, 3657.0
2017-09-30,2018-04-09,191,-16.8,-15.26,-0.69, 3570.0
2018-09-30,2019-04-09,191,-16.9,-10.92,-0.12, 3461.0
2019-09-24,2020-03-08,166,-10.5,-8.1,2.73, 2535.0
2020-10-21,2021-04-13,174,-20.9,-17.46,-1.13, 3329.0
